layout,almacen,CAPACITY,zona,MULTIPART,ISACTIVE
 EXP/AFTER/RES/F1,Fabrica 1,-1,EX3-7360EXP-Almoxarifado da Expedi??o,True,False
1-001-0001-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0001-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0001-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0001-30,Fabrica 3,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0002-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0002-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0002-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0003-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0003-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0003-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0004-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0004-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0004-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0004-30,Fabrica 3,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0005-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0005-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0005-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0005-30,Fabrica 3,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0006-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0006-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0006-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0007-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0007-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0007-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0007-30,Fabrica 3,-1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0008-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0008-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0008-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0008-30,Fabrica 3,-1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0009-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0009-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0009-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0010-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0010-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0010-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0010-30,Fabrica 3,-1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0011-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0011-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0011-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0011-30,Fabrica 3,-1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0012-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0012-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0012-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0013-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0013-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0013-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0014-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0014-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0014-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0015-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0015-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0015-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0015-30,Fabrica 3,-1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0016-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0016-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0016-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0017-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0017-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0017-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0018-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0018-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0018-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0019-00,Fabrica 2,4,ID2-7312ALM-Almoxarifado de Componentes,True,True
1-001-0019-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0019-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0023-00,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0023-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0023-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0024-00,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0024-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0024-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0025-00,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0025-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0025-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0026-00,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0026-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0026-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0027-00,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0027-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0027-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0028-00,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0028-10,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
1-001-0028-20,Fabrica 2,1,ID2-7312ALM-Almoxarifado de Componentes,False,True
